,log2FoldChange,pvalue,padj,log2FoldChange,pvalue,padj,log2FoldChange,pvalue,padj
Dapma7bEVm000102,0.046963475,0.779975916,0.956341445,0.068568851,0.683104989,0.98976895,-0.18499404,0.272070805,0.997835001
Dapma7bEVm000103,-0.296854825,0.373529389,0.804697259,-0.450353633,0.176365719,0.867593008,0.203747156,0.539609881,0.997835001
Dapma7bEVm000104,0.080132627,0.625027418,0.916908003,0.096424877,0.556019891,0.971159653,-0.014666903,0.928831919,0.998544574
Dapma7bEVm000105,0.30614315,0.146129095,0.586584244,0.407422949,0.052827467,0.690979705,0.219186275,0.298672422,0.997835001
Dapma7bEVm000106,0.069884935,0.941247781,NA,0.43447298,0.644671577,0.984108345,-0.447267219,0.641094376,0.997835001
Dapma7bEVm000107,0.170830605,0.344583764,0.784275964,0.107000931,0.553342677,0.971159653,-0.307089989,0.091406504,0.876418925
Dapma7bEVm000108,-0.202234187,0.065399519,0.408916238,-0.008102684,0.940849808,0.997211633,-0.166989856,0.129051702,0.933200618
Dapma7bEVm000109,-0.198336683,0.254514737,0.710709355,-0.16013543,0.356607874,0.947009914,-0.247328698,0.156238887,0.951748095
Dapma7bEVm000110,0.305497843,0.261730966,0.718963014,0.414029348,0.127726027,0.828614689,-0.125897731,0.644886714,0.997835001
Dapma7bEVm000111,0.513706232,0.018896028,0.202872503,0.348475092,0.110922775,0.804784529,0.123738186,0.575124423,0.997835001
Dapma7bEVm000112,-0.819370553,0.615830361,0.914769833,-0.080921396,0.960453208,0.998801612,-0.598153811,0.714139118,0.998544574
Dapma7bEVm000113,-1.217601599,0.134571731,NA,-0.02012756,0.979398196,0.999279828,-1.291269686,0.11703123,0.921816387
Dapma7bEVm000114,-0.102735703,0.918452275,0.985820597,0.134008425,0.893646038,0.996018607,0.090884903,0.927834396,0.998544574
Dapma7bEVm000115,0.030930243,0.828141163,0.966015412,-0.000591689,0.996684892,0.999771496,-0.14800406,0.29945225,0.997835001
Dapma7bEVm000116,0.43433357,0.060663108,0.391757084,0.31544593,0.172902901,0.86392059,-0.166732177,0.472873917,0.997835001
Dapma7bEVm000117,0.314209709,0.073212528,0.435066146,0.235033449,0.180016272,0.870726969,-0.00298074,0.986466788,0.999369764
Dapma7bEVm000118,-0.176404995,0.18946751,0.643146593,-0.071613435,0.591593116,0.975885279,-0.193554667,0.152029501,0.945673822
Dapma7bEVm000119,0.319133158,0.156649152,0.600858596,0.320438158,0.154585169,0.851279019,0.038514173,0.864585497,0.998544574
Dapma7bEVm000120,-0.091371347,0.665485599,0.930209681,-0.018209753,0.931232578,0.997211633,-0.370656318,0.080362022,0.860076864
Dapma7bEVm000121,-0.11681602,0.619971046,0.915434051,0.245461869,0.295529487,0.933826739,0.068301868,0.771892178,0.998544574
Dapma7bEVm000122,-0.203475705,0.556928355,0.8962249,0.061046429,0.859353733,0.996018607,-0.129029935,0.709986528,0.998544574
Dapma7bEVm000123,-0.076332071,0.717410266,0.944285484,-0.060460141,0.773751763,0.995280907,-0.280303216,0.186206728,0.974249988
Dapma7bEVm000124,-0.16459365,0.554486182,0.8962249,0.029831338,0.914506695,0.996018607,-0.661395772,0.018133562,0.551283734
Dapma7bEVm000125,0.075749552,0.76591195,0.955425197,0.261907887,0.302547977,0.934655977,-0.219389578,0.389699204,0.997835001
Dapma7bEVm000126,0.648205619,0.004318779,0.077701508,0.311973413,0.169672505,0.862787273,-0.109995134,0.629185044,0.997835001
Dapma7bEVm000127,-0.026122038,0.847665965,0.972106564,0.092782734,0.493447672,0.964158903,-0.084992715,0.533283905,0.997835001
Dapma7bEVm000128,-0.137768928,0.393401164,0.817959974,0.171975406,0.282733019,0.926961898,-0.01689727,0.91674831,0.998544574
Dapma7bEVm000129,0.19688036,0.237857949,0.697268737,0.187325473,0.260247365,0.918809966,-0.07092822,0.672547593,0.998544574
Dapma7bEVm000130,0.08636418,0.882610066,NA,0.184986204,0.751153979,0.995280907,0.02262233,0.969224388,0.998544574
Dapma7bEVm000131,-0.377693519,0.086523792,0.47199838,-0.116177634,0.595771735,0.977416671,-0.288082381,0.191818505,0.979170332
Dapma7bEVm000132,-0.489012159,0.121273479,0.547790504,-0.110504924,0.724111153,0.994207572,0.007086553,0.982010301,0.999239775
Dapma7bEVm000133,0.05594125,0.791493238,0.958268461,0.015637462,0.941058306,0.997211633,-0.337586307,0.111365625,0.914141657
Dapma7bEVm000134,0.06915744,0.615391265,0.914705155,0.006622416,0.961559208,0.999006385,0.167236891,0.224941765,0.997835001
Dapma7bEVm000135,0.099674851,0.662965375,0.930033312,0.394010142,0.084225032,0.776295698,0.360906811,0.114458038,0.920852017
Dapma7bEVm000136,0.162695995,0.283634867,0.737696926,0.022290223,0.883172905,0.996018607,-0.09442233,0.534580894,0.997835001
Dapma7bEVm000137,-0.016218142,0.947563763,0.991560848,0.070849673,0.772845474,0.995280907,-0.302606089,0.223876352,0.997835001
Dapma7bEVm000138,-0.194400127,0.546173553,0.893667133,0.174466175,0.586513955,0.973717642,-0.174930885,0.587699576,0.997835001
Dapma7bEVm000139,0.0260475,0.890632076,0.97902678,0.076219919,0.686037995,0.990313418,0.02492015,0.895713989,0.998544574
Dapma7bEVm000140,-1.198976158,0.34228458,NA,-0.064639026,0.958408053,0.998693083,-0.379746992,0.761195179,0.998544574
